size_category,nombre,especie,localidad,crop_code,tipo,n
size1000,A002,roble,SANJUAN,SJ1,CLARO,0.6666666666666666
size1000,A024,roble,SANJUAN,SJ1,ROBLEDAL,3.3333333333333335
size1000,A026,roble,SANJUAN,SJ2,ROBLEDAL,2
size1000,A027,roble,SANJUAN,SJ2,ROBLEDAL,6.333333333333333
size1000,A028,roble,SANJUAN,SJ2,ROBLEDAL,4.666666666666667
size1000,A029,roble,SANJUAN,SJ2,ROBLEDAL,2.6666666666666665
size1000,A031,roble,SANJUAN,SJ1,ROBLEDAL,0.6666666666666666
size1000,A032,roble,SANJUAN,SJ1,ROBLEDAL,1.3333333333333333
size1000,A033,roble,SANJUAN,SJ1,ROBLEDAL,1.3333333333333333
size1000,A034,roble,SANJUAN,SJ1,ROBLEDAL,2.3333333333333335
size1000,A035,roble,SANJUAN,SJ1,ROBLEDAL,2.6666666666666665
size1000,A036,roble,SANJUAN,SJ2,ROBLEDAL,1.6666666666666667
size1000,A037,roble,SANJUAN,SJ2,ROBLEDAL,1.6666666666666667
size1000,A038,roble,SANJUAN,SJ2,ROBLEDAL,2.6666666666666665
size1000,A039,roble,SANJUAN,SJ2,ROBLEDAL,1
size1000,A040,roble,SANJUAN,SJ2,ROBLEDAL,3
size1000,A041,roble,SANJUAN,SJ2,ROBLEDAL,3.3333333333333335
size1000,B001,roble,CANAR,CA3,CLARO_BORDE,0.6666666666666666
size1000,B004,roble,CANAR,CA1,CLARO_BORDE,0.6666666666666666
size1000,B006,roble,CANAR,CA1,CLARO_BORDE,0.3333333333333333
size1000,B008,roble,CANAR,CA2,CLARO_BORDE,0.3333333333333333
size1000,B010,roble,CANAR,CA2,CLARO_BORDE,0.3333333333333333
size1000,B011,roble,CANAR,CA2,CLARO_BORDE,2.6666666666666665
size1000,C001,roble,SANJUAN,SJ1,CLARO_BORDE,0.3333333333333333
size1000,C002,roble,SANJUAN,SJ1,CLARO_BORDE,3.3333333333333335
size1000,C003,roble,SANJUAN,SJ1,CLARO_BORDE,2.6666666666666665
size1000,C004,roble,SANJUAN,SJ2,CLARO_BORDE,1
size1000,C006,roble,SANJUAN,SJ2,CLARO_BORDE,1.3333333333333333
size1000,C010,roble,SANJUAN,SJ2,CLARO_BORDE,1
size1000,P007,roble,CANAR,CA2,ROBLEDAL,1.3333333333333333
size1000,P020,roble,CANAR,CA3,CLARO,0.6666666666666666
size1000,P021,roble,CANAR,CA3,ROBLEDAL,0.3333333333333333
size1000,P022,roble,CANAR,CA2,ROBLEDAL,0.3333333333333333
size1000,P023,roble,CANAR,CA3,ROBLEDAL,2.6666666666666665
size1000,P024,roble,CANAR,CA2,ROBLEDAL,0.6666666666666666
size1000,P026,roble,CANAR,CA3,ROBLEDAL,2.3333333333333335
size1000,P028,roble,CANAR,CA1,ROBLEDAL,0.3333333333333333
size1000,P030,roble,CANAR,CA1,ROBLEDAL,2.3333333333333335
size1000,P031,roble,CANAR,CA1,ROBLEDAL,1.6666666666666667
size1000,P033,roble,CANAR,CA2,ROBLEDAL,0.3333333333333333
size1000,P034,roble,CANAR,CA3,ROBLEDAL,0.3333333333333333
size1000,P035,roble,CANAR,CA1,ROBLEDAL,2
size1000,P038,roble,CANAR,CA2,ROBLEDAL,0.3333333333333333
size120,A002,roble,SANJUAN,SJ1,CLARO,0.3333333333333333
size120,A017,roble,SANJUAN,SJ2,CLARO,0.3333333333333333
size120,A024,roble,SANJUAN,SJ1,ROBLEDAL,0.3333333333333333
size120,A026,roble,SANJUAN,SJ2,ROBLEDAL,0.3333333333333333
size120,A027,roble,SANJUAN,SJ2,ROBLEDAL,1
size120,A028,roble,SANJUAN,SJ2,ROBLEDAL,1
size120,A029,roble,SANJUAN,SJ2,ROBLEDAL,0.6666666666666666
size120,A031,roble,SANJUAN,SJ1,ROBLEDAL,0.3333333333333333
size120,A032,roble,SANJUAN,SJ1,ROBLEDAL,1.6666666666666667
size120,A033,roble,SANJUAN,SJ1,ROBLEDAL,3
size120,A034,roble,SANJUAN,SJ1,ROBLEDAL,2
size120,A035,roble,SANJUAN,SJ1,ROBLEDAL,2
size120,A036,roble,SANJUAN,SJ2,ROBLEDAL,1
size120,A037,roble,SANJUAN,SJ2,ROBLEDAL,2
size120,A038,roble,SANJUAN,SJ2,ROBLEDAL,4
size120,A039,roble,SANJUAN,SJ2,ROBLEDAL,0.6666666666666666
size120,A040,roble,SANJUAN,SJ2,ROBLEDAL,2
size120,A041,roble,SANJUAN,SJ2,ROBLEDAL,5
size120,B001,roble,CANAR,CA3,CLARO_BORDE,0.6666666666666666
size120,B002,roble,CANAR,CA3,CLARO_BORDE,1
size120,B003,roble,CANAR,CA3,CLARO_BORDE,1.3333333333333333
size120,B004,roble,CANAR,CA1,CLARO_BORDE,1
size120,B005,roble,CANAR,CA1,CLARO_BORDE,1.6666666666666667
size120,B006,roble,CANAR,CA1,CLARO_BORDE,2.3333333333333335
size120,B008,roble,CANAR,CA2,CLARO_BORDE,1.3333333333333333
size120,B010,roble,CANAR,CA2,CLARO_BORDE,0.6666666666666666
size120,B011,roble,CANAR,CA2,CLARO_BORDE,1
size120,C001,roble,SANJUAN,SJ1,CLARO_BORDE,1.3333333333333333
size120,C002,roble,SANJUAN,SJ1,CLARO_BORDE,1
size120,C003,roble,SANJUAN,SJ1,CLARO_BORDE,0.6666666666666666
size120,C004,roble,SANJUAN,SJ2,CLARO_BORDE,1
size120,C006,roble,SANJUAN,SJ2,CLARO_BORDE,1
size120,P001,roble,CANAR,CA1,CLARO,0.3333333333333333
size120,P002,roble,CANAR,CA1,CLARO,0.6666666666666666
size120,P003,encina,CANAR,CA1,CLARO,0.6666666666666666
size120,P003,roble,CANAR,CA1,CLARO,0.6666666666666666
size120,P005,encina,CANAR,CA3,CLARO,0.3333333333333333
size120,P006,roble,CANAR,CA3,CLARO,0.6666666666666666
size120,P007,roble,CANAR,CA2,ROBLEDAL,0.6666666666666666
size120,P008,roble,CANAR,CA1,CLARO,0.3333333333333333
size120,P009,roble,CANAR,CA1,CLARO,0.6666666666666666
size120,P010,roble,CANAR,CA1,CLARO,1
size120,P011,roble,CANAR,CA2,CLARO,0.3333333333333333
size120,P012,roble,CANAR,CA2,CLARO,0.3333333333333333
size120,P013,roble,CANAR,CA2,CLARO,0.3333333333333333
size120,P018,roble,CANAR,CA2,CLARO,0.3333333333333333
size120,P021,roble,CANAR,CA3,ROBLEDAL,1
size120,P023,roble,CANAR,CA3,ROBLEDAL,0.3333333333333333
size120,P026,roble,CANAR,CA3,ROBLEDAL,0.6666666666666666
size120,P028,roble,CANAR,CA1,ROBLEDAL,0.3333333333333333
size120,P033,roble,CANAR,CA2,ROBLEDAL,0.3333333333333333
size120,P034,roble,CANAR,CA3,ROBLEDAL,0.3333333333333333
size120,P037,roble,CANAR,CA2,ROBLEDAL,0.3333333333333333
size120,P038,roble,CANAR,CA2,ROBLEDAL,0.3333333333333333
size1250,A026,roble,SANJUAN,SJ2,ROBLEDAL,1.3333333333333333
size1250,A027,roble,SANJUAN,SJ2,ROBLEDAL,0.3333333333333333
size1250,A028,roble,SANJUAN,SJ2,ROBLEDAL,1
size1250,A029,roble,SANJUAN,SJ2,ROBLEDAL,1
size1250,A031,roble,SANJUAN,SJ1,ROBLEDAL,1
size1250,A032,roble,SANJUAN,SJ1,ROBLEDAL,1
size1250,A033,roble,SANJUAN,SJ1,ROBLEDAL,0.6666666666666666
size1250,A034,roble,SANJUAN,SJ1,ROBLEDAL,1
size1250,A035,roble,SANJUAN,SJ1,ROBLEDAL,1
size1250,A036,roble,SANJUAN,SJ2,ROBLEDAL,2
size1250,A037,roble,SANJUAN,SJ2,ROBLEDAL,0.3333333333333333
size1250,A040,roble,SANJUAN,SJ2,ROBLEDAL,0.6666666666666666
size1250,A041,roble,SANJUAN,SJ2,ROBLEDAL,3
size1250,B001,roble,CANAR,CA3,CLARO_BORDE,0.3333333333333333
size1250,B002,roble,CANAR,CA3,CLARO_BORDE,0.3333333333333333
size1250,B006,roble,CANAR,CA1,CLARO_BORDE,0.3333333333333333
size1250,B011,roble,CANAR,CA2,CLARO_BORDE,1.6666666666666667
size1250,C002,roble,SANJUAN,SJ1,CLARO_BORDE,0.3333333333333333
size1250,C003,roble,SANJUAN,SJ1,CLARO_BORDE,0.3333333333333333
size1250,P007,roble,CANAR,CA2,ROBLEDAL,1.6666666666666667
size1250,P021,roble,CANAR,CA3,ROBLEDAL,2
size1250,P022,roble,CANAR,CA2,ROBLEDAL,1.6666666666666667
size1250,P023,roble,CANAR,CA3,ROBLEDAL,0.6666666666666666
size1250,P024,roble,CANAR,CA2,ROBLEDAL,0.6666666666666666
size1250,P026,roble,CANAR,CA3,ROBLEDAL,1
size1250,P027,roble,CANAR,CA2,ROBLEDAL,2.6666666666666665
size1250,P028,roble,CANAR,CA1,ROBLEDAL,0.6666666666666666
size1250,P030,roble,CANAR,CA1,ROBLEDAL,2
size1250,P033,roble,CANAR,CA2,ROBLEDAL,1
size1250,P034,roble,CANAR,CA3,ROBLEDAL,0.6666666666666666
size1250,P035,roble,CANAR,CA1,ROBLEDAL,1.3333333333333333
size1250,P037,roble,CANAR,CA2,ROBLEDAL,1.3333333333333333
size1250,P038,roble,CANAR,CA2,ROBLEDAL,1
size150,A004,roble,SANJUAN,SJ1,CLARO,0.3333333333333333
size150,A008,roble,SANJUAN,SJ2,CLARO,0.3333333333333333
size150,A017,roble,SANJUAN,SJ2,CLARO,0.3333333333333333
size150,A019,roble,SANJUAN,SJ2,CLARO,0.3333333333333333
size150,A024,roble,SANJUAN,SJ1,ROBLEDAL,1
size150,A027,roble,SANJUAN,SJ2,ROBLEDAL,1.6666666666666667
size150,A028,roble,SANJUAN,SJ2,ROBLEDAL,0.3333333333333333
size150,A031,roble,SANJUAN,SJ1,ROBLEDAL,0.6666666666666666
size150,A032,roble,SANJUAN,SJ1,ROBLEDAL,0.6666666666666666
size150,A033,roble,SANJUAN,SJ1,ROBLEDAL,3.6666666666666665
size150,A034,roble,SANJUAN,SJ1,ROBLEDAL,1.6666666666666667
size150,A035,roble,SANJUAN,SJ1,ROBLEDAL,1.3333333333333333
size150,A037,roble,SANJUAN,SJ2,ROBLEDAL,0.6666666666666666
size150,A038,roble,SANJUAN,SJ2,ROBLEDAL,2.3333333333333335
size150,A039,roble,SANJUAN,SJ2,ROBLEDAL,0.3333333333333333
size150,A040,roble,SANJUAN,SJ2,ROBLEDAL,1.3333333333333333
size150,A041,roble,SANJUAN,SJ2,ROBLEDAL,0.3333333333333333
size150,B001,roble,CANAR,CA3,CLARO_BORDE,0.3333333333333333
size150,B002,roble,CANAR,CA3,CLARO_BORDE,0.6666666666666666
size150,B003,roble,CANAR,CA3,CLARO_BORDE,0.3333333333333333
size150,B004,encina,CANAR,CA1,CLARO_BORDE,0.3333333333333333
size150,B004,roble,CANAR,CA1,CLARO_BORDE,0.3333333333333333
size150,B005,roble,CANAR,CA1,CLARO_BORDE,0.3333333333333333
size150,B006,roble,CANAR,CA1,CLARO_BORDE,1
size150,B008,roble,CANAR,CA2,CLARO_BORDE,1
size150,B010,roble,CANAR,CA2,CLARO_BORDE,2.6666666666666665
size150,B011,roble,CANAR,CA2,CLARO_BORDE,1.3333333333333333
size150,C003,roble,SANJUAN,SJ1,CLARO_BORDE,0.3333333333333333
size150,C004,roble,SANJUAN,SJ2,CLARO_BORDE,0.3333333333333333
size150,C006,roble,SANJUAN,SJ2,CLARO_BORDE,1
size150,C010,roble,SANJUAN,SJ2,CLARO_BORDE,0.6666666666666666
size150,P002,roble,CANAR,CA1,CLARO,0.3333333333333333
size150,P003,encina,CANAR,CA1,CLARO,0.3333333333333333
size150,P007,roble,CANAR,CA2,ROBLEDAL,0.3333333333333333
size150,P009,roble,CANAR,CA1,CLARO,0.6666666666666666
size150,P018,roble,CANAR,CA2,CLARO,0.3333333333333333
size150,P020,roble,CANAR,CA3,CLARO,1
size150,P021,roble,CANAR,CA3,ROBLEDAL,1
size150,P022,roble,CANAR,CA2,ROBLEDAL,0.3333333333333333
size150,P023,roble,CANAR,CA3,ROBLEDAL,1
size150,P024,roble,CANAR,CA2,ROBLEDAL,0.3333333333333333
size150,P026,roble,CANAR,CA3,ROBLEDAL,0.3333333333333333
size150,P027,roble,CANAR,CA2,ROBLEDAL,0.3333333333333333
size150,P028,roble,CANAR,CA1,ROBLEDAL,1.3333333333333333
size150,P030,roble,CANAR,CA1,ROBLEDAL,0.3333333333333333
size150,P031,roble,CANAR,CA1,ROBLEDAL,0.6666666666666666
