"idesp","id","nombre_cientifico","created_at","updated_at","ent_pk","imagen","dicc_ecologia_id","dicc_biogeovoou_id","dicc_biogeosimple_id","dicc_estatussn_id","dicc_ecologiatrofica_id","ent_pk_padre","autor","nombre_comun","nivel","audio","idprotocolo"
1,3,"Fauna","2011-05-16 13:46:36.78746","2011-05-16 13:46:36.78746",1,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,"Fauna",1,NULL,NULL
2,4,"Vertebrata","2011-05-16 13:46:36.792449","2011-05-16 13:46:36.792449",10,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,"Vertebrados",2,NULL,NULL
3,5,"Mammalia","2011-05-16 13:46:36.79747","2011-05-16 13:46:36.79747",50,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,"Mamíferos",3,NULL,NULL
4,6,"Perissodactyla","2011-05-16 13:46:36.802518","2011-05-16 13:46:36.802518",99,NULL,NULL,NULL,NULL,NULL,NULL,50,NULL,NULL,4,NULL,NULL
5,7,"Equidae","2011-05-16 13:46:36.807698","2011-05-16 13:46:36.807698",104956,NULL,NULL,NULL,NULL,NULL,NULL,99,NULL,NULL,5,NULL,NULL
6,8,"Equus","2011-05-16 13:46:36.812767","2011-05-16 13:46:36.812767",104958,NULL,NULL,NULL,NULL,NULL,NULL,104956,NULL,NULL,6,NULL,NULL
7,9,"Equus asinus","2011-05-16 13:46:36.817789","2011-05-16 13:46:36.817789",104951,NULL,NULL,NULL,NULL,NULL,NULL,104958,NULL,"Burro",7,NULL,NULL
8,10,"Artiodactyla","2011-05-16 13:46:36.822844","2011-05-16 13:46:36.822844",100,NULL,NULL,NULL,NULL,NULL,NULL,50,NULL,NULL,4,NULL,NULL
9,11,"Cervidae","2011-05-16 13:46:36.827847","2011-05-16 13:46:36.827847",1000,NULL,NULL,NULL,NULL,NULL,NULL,100,NULL,NULL,5,NULL,NULL
10,12,"Cervus","2011-05-16 13:46:36.832865","2011-05-16 13:46:36.832865",2001,NULL,NULL,NULL,NULL,NULL,NULL,1000,NULL,NULL,6,NULL,NULL
11,13,"Cervus elaphus","2011-05-16 13:46:36.83791","2011-05-16 13:46:36.83791",2002,NULL,NULL,NULL,NULL,NULL,NULL,2001,NULL,"Ciervo común",7,NULL,NULL
12,14,"Cervus elaphus subsp. hispanicus","2011-05-16 13:46:36.843028","2011-05-16 13:46:36.843028",16132,NULL,NULL,NULL,NULL,NULL,NULL,2002,NULL,"Ciervo mediterráneo",8,NULL,NULL
13,15,"Capreolus","2011-05-16 13:46:36.848124","2011-05-16 13:46:36.848124",2004,NULL,NULL,NULL,NULL,NULL,NULL,1000,NULL,NULL,6,NULL,NULL
14,16,"Capreolus capreolus","2011-05-16 13:46:36.853281","2011-05-16 13:46:36.853281",2005,NULL,NULL,NULL,NULL,NULL,NULL,2004,NULL,"Corzo",7,NULL,NULL
