"idgeo","nombre","transecto_padre","n_tramo","longitud_m","min_altitud","max_altitud","habitat","idprotocolo","geom","activo"
"10","Loma Papeles",0,0,2621,0,0,NULL,5,"0105000020E6100000010000000102000000F400000000AEB9E13AA00AC0B06B5D41B2914240805E225778A00AC020DBE43FB3914240000A97DBD2A00AC0D04A961EB491424000EF008B3CA10AC068D54162B391424080AF38AC7DA10AC0A07494EFB291424000F49A55A0A10AC0083AB8B8B391424000DD7840C7A10AC078B321F7B3914240008F300AE9A10AC0280611DFB691424000914382FFA10AC068517310BB91424000F6885129A20AC0E825C214BD91424080D2751675A20AC0D83FAA25C091424000CA0FE3A5A20AC0B884A14AC091424000C8B461EFA20AC0E06ECA99C091424080A0B12C25A30AC0A8287F4FBF91424000E0495C57A30AC0A03B2858BE914240008F09F65DA30AC0F0518766BE91424080F8B242C6A30AC060958AF5BE91424000ED039C0DA40AC0304D5F8FBF91424080AF9BE25BA40AC030D1852CC191424000568C54A3A40AC000F7E3FAC191424000876652ECA40AC0C0B811DDC4914240800940E426A50AC0D0345269C791424080D0884B54A50AC0F8E41166C9914240800AF0A481A50AC0D09B8E2FCD9142400013B3FBA7A50AC040F2A1F0D091424000A64435DFA50AC0984975BCD291424000AB21222AA60AC02048CEC5D6914240003DC90E87A60AC0A8316995D89142400084D248BDA60AC0A808F10FD9914240009B4D3DF9A60AC0D8A47FB8DA91424080F147032BA70AC098BC1A62DD914240001E310860A70AC0A8D58A7DDE91424000D836549EA70AC0085D21A4DF914240006EDF53C7A70AC00022446EE29142408077A999F8A70AC050AB3653E5914240809D1EF824A80AC028A608E3E791424000F1EE8E60A80AC0F86667ECEA91424080436844A4A80AC04809FD11EB91424080059ECD09A90AC020CC81B3ED9142400086AEF363A90AC058B01E27EF91424080B0B58AB5A90AC068E2F118F1914240807AE5AC0EAA0AC0F8F6343AF391424080D8F50575AA0AC0A08D3806F491424000CDA675B7AA0AC080BFDAF4F3914240809F0D6809AB0AC058DEF598F4914240000805A962AB0AC0B00F0D19F59142400092804AA9AB0AC0507F1CFEF591424000D8098201AC0AC090711B7FF6914240802B75BF4FAC0AC09003C6E7F69142400071C4B2B5AC0AC0B80D0394F7914240807061A916AD0AC0F063AEA3F9914240808C98483FAD0AC0E8D99268FA9142408025FCE96FAD0AC098B47259FC914240008A08C688AD0AC0E8A6026D00924240800630DCACAD0AC068D17ECE059242408081CF58F8AD0AC0F005C2D40C924240005209804FAE0AC0B8C825B913924240006E1BF0A2AE0AC0F0D25E431892424080494BD219AF0AC08045A46B2092424000F3FCD575AF0AC0600B9BA82392424000DC925BC3AF0AC0602D470C269242408036360C3EB00AC0402DA79B2792424000D2CB6EA3B00AC090CBDDA02A9242400033A7DF02B10AC098D50AF72B924240807D25FD54B10AC07010C45E2E92424080116999A9B10AC0204DF10E3192424000BC369C02B20AC04039B26433924240804AAE695CB20AC0B8A3CA8736924240005296EA9BB20AC0B03F2F503892424080B61E2EFFB20AC0405038203C92424000AE2BD668B30AC030E1733F3E92424000F7BA07B5B30AC058D946A1409242400035F41503B40AC09017A2A64192424080D5A4E86EB40AC01026CAE2429242408044C421D8B40AC0E06C8377449242400075B0E035B50AC0D8058D1D479242400048264FA6B50AC030D1DBAA479242408050D49A05B60AC040E366A2489242400067004088B60AC0E0295F1949924240002BB38B00B70AC0E8D3FB854A92424000EF890750B70AC0205315E74A9242400041EDFF86B70AC080DB82914B9242400039A66CE4B70AC0289EAE4F4E92424080E739F260B80AC078BABAE64F924240000EFDB463B90AC070D068A65492424080E8836EEBB90AC0D8898C4256924240805191B909BA0AC0E839EAAF5492424080B86BA559BA0AC060F8213253924240802E5567C5BA0AC0606FB6225392424080A7F4D4FEBA0AC02843D4355292424000817BDB3EBB0AC0B8693B255192424000A6079580BB0AC048175B825092424080CE7DAAAEBB0AC020C764A64F9242400042C12CE8BB0AC000DD02204E92424080323DE326BC0AC0D882FB004E924240005A48584CBC0AC0A8C6C3464C9242400010174499BC0AC0A85344D84B9242408059247FF2BC0AC090C4F1804B9242408067844668BD0AC05081D9784B9242408093107FC3BD0AC0585373644B9242400094F72F08BE0AC0984CECBD4B92424000ED5BA656BE0AC0A0EEC24E4C924240009E694DB6BE0AC0E80BD0D24C9242400063A2340BBF0AC0B0FF0B774D92424080C77F5B6ABF0AC0486466BA4B92424000F0562F83BF0AC0507D95F34B924240003B54A7C3BF0AC0C8A0CDB24C924240009D500304C00AC0709B088E4D92424080252A663BC00AC00076F85D4E924240000541B18BC00AC0A8D661DD4E92424080966AE6BEC00AC06840E35D4F92424000B4940CF0C00AC0D0AF995F509242400023019716C10AC0882D4C34519242408018927640C10AC030653D2E5292424080FE72EE59C10AC048B78A2E549242400085B1F27AC10AC050964B7B55924240801AD6A6A6C10AC040F4B75557924240808867ADC9C10AC03816287159924240803BDB08DFC10AC090999FE159924240005ECB0DFEC10AC050134A795B92424000F9849B0FC20AC048A778805B924240005A67F123C20AC0E07B915E5B9242400070943440C20AC06036CBD75B924240804B53344FC20AC0B0EFF72F5A92424000CAC30A84C20AC0587043F85B92424000316800BDC20AC030D34DB15B92424000387261F4C20AC0C0BE8F655A92424080ECE37B3CC30AC0B88EF6735A92424000FFCBE671C30AC0E852E53B5B92424000CC72379BC30AC0C0A29F585B924240008219FCD4C30AC0B8AE2FA059924240000E597426C40AC0480F4BF858924240804DCA7B43C40AC008A127FE57924240801D35FA85C40AC0C823923B5792424000893DBAB5C40AC0200EA92257924240806AAE9114C50AC0B8CA10DF56924240009ADB1824C50AC0F8608AC455924240807673F548C50AC0B866120758924240003BFC206EC50AC0E0628A055992424080D39B4C89C50AC0C02EFE4F59924240805AA309B2C50AC0E8EA89DC599242408084AF35D9C50AC0906AEF525A92424000DC847AE3C50AC0180EF1275A92424080C98C9EE7C50AC0E86C4C105A92424000CD7A9A01C60AC0200B26205A92424080BA908D09C60AC0C81AD72F5A92424080C7E07D29C60AC008A4A8675A924240807B70812DC60AC0D8F2E46C5A924240804BBEB44DC60AC0108C62915A92424080C77F1B78C60AC0181FC2BF5A92424080EEB64D88C60AC06032E3CF5A92424000E127DBAEC60AC0E041AEF25A92424080B7F731F8C60AC0B0D897AB5B9242408028594123C70AC0A8DCA91C5C924240008C952346C70AC0E0FAEB2A5C92424000BA735671C70AC07056812E5C924240805AA37975C70AC0400021355C92424080578C0A92C70AC0784061F05B924240005F4230BDC70AC0D0E7F4FA5B9242408040A099ECC70AC038383F205C924240808ECED3F4C70AC0C8A4A0215C9242400017CB6705C80AC09010773D5C92424080BD4FED1EC80AC050D0A1CD5C9242408007243A23C80AC0D023CCEA5C92424000FC1B674FC80AC0704FB0725E9242408012FA5F6EC80AC0C046793B5E9242400023A3E785C80AC0D0C5D17E5D924240806BBAFAA6C80AC01813D1605D924240004BBE29ABC80AC0D05588635D92424000D39B79C8C80AC0C8288B765D92424080A5F5E8CCC80AC01812BE945D92424080714846E6C80AC0C033E8BC5D9242400098104216C90AC0007A9CC95D92424000A86B1D39C90AC0D0180E8D5D9242400081BFC966C90AC018C992C95C92424080FC7A4084C90AC0A86905DF5C92424000DC7DCCC3C90AC008A7BE855C9242408025B4D1F4C90AC08009F5B95C92424080E6931C27CA0AC0403626CD5C92424080AC8E8051CA0AC0C8BD03F85C924240002EDE7F73CA0AC0805367EE5D92424000AA26CE9FCA0AC00830A4AE5E9242408050BE13CCCA0AC0C0BF9BFE5E924240005A337601CB0AC088B939155F9242408035C9542ACB0AC0F0C13C385E92424000B0AEE144CB0AC0085D5B1F5D9242400006B38469CB0AC0A89282FE5C92424000571EB3A5CB0AC02056BAEE5C92424000627DB9C3CB0AC0187958715C9242400065D457EACB0AC088BB7FE25C92424000407C490BCC0AC0505534A35D924240800F6A6630CC0AC0D0EC93515E92424000304C3B56CC0AC0306AA94F5F924240009E64297BCC0AC0E07746A6609242408078E44A97CC0AC0E0A2B2AF60924240800573C0BECC0AC0682A258F6092424000308FB9E5CC0AC08072119C6092424000C273810ECD0AC098A40C6E6092424000B9F35169CD0AC090352F8B5F92424000570E5B94CD0AC0106A2EAE5F924240009F1993C6CD0AC0C08F43EF5F924240005C7720F0CD0AC0C8381FD95E92424000B00BD632CE0AC000B0D5FE5E924240801FABBA6BCE0AC0B0D395A45F92424080446487A4CE0AC008B61FE75F92424000CC62BDE6CE0AC0C81248F25F924240802C42C41DCF0AC090A701DF5F924240806566A455CF0AC0782D2FF05F92424000E302E691CF0AC08006DD0260924240803521C8CCCF0AC0E0895473609242408070A085F4CF0AC0B8750B1E619242400009D12321D00AC048FDB945619242408060092056D00AC038220B6A60924240804101DA8BD00AC0E09F16AB60924240003B4CBDB4D00AC05807DD67619242400006D954D9D00AC0187706D762924240000002580AD10AC0087B474B6392424000B964663BD10AC0C0E987576492424000FED2415BD10AC0587CA5A465924240007728A889D10AC0104B9B6965924240803E8034C7D10AC0603E2AE1669242400013E7870ED20AC008541894679242408073070A3FD20AC040546CDD669242408060777A43D20AC09094B9DD66924240808902F771D20AC030B678BA66924240001F953EB9D20AC068EE5AD46692424080AFB33BC2D20AC0A8D66DE166924240806EE36EFAD20AC0D08DF9FF65924240803CFCF2FDD20AC03803738B6592424000C4F4E64FD30AC0E87B598F6592424000D339B382D30AC0901E2E856592424000BA619BCDD30AC0186EACE26492424000032E5602D40AC0B0EE46E36492424000C14CBD3CD40AC0187F122F6592424000E482338FD40AC01841EB3D6592424000261780C2D40AC0105956E363924240801354F2EDD40AC0A0FE7D506392424080ABA1D611D50AC0781BD47363924240805B967643D50AC0B86B09A9639242408051DDA570D50AC0286ED4C26292424080254DD7ACD50AC0589D72E96192424000023F88DCD50AC058F728D061924240805352E009D60AC06862845C6192424080F3F7233DD60AC080A19C5B61924240",True
"100","Las Sabinas",NULL,5,NULL,NULL,NULL,NULL,37,NULL,True
"100_24504","Las Sabinas - Especie Genista versicolor",100,NULL,NULL,NULL,NULL,NULL,37,"0101000020E61000003AB56177B1640BC0601C1F09F18E4240",True
"100_24507","Las Sabinas - Especie Vella spinosa",100,NULL,NULL,NULL,NULL,NULL,37,"0101000020E61000003AB56177B1640BC0601C1F09F18E4240",True
"100_24516","Las Sabinas - Especie Berberis hispanica",100,NULL,NULL,NULL,NULL,NULL,37,"0101000020E61000003AB56177B1640BC0601C1F09F18E4240",True
"100_24520","Las Sabinas - Especie Astragalus granatensis",100,NULL,NULL,NULL,NULL,NULL,37,"0101000020E61000003AB56177B1640BC0601C1F09F18E4240",True
"100_24521","Las Sabinas - Especie Erinacea anthyllis",100,NULL,NULL,NULL,NULL,NULL,37,"0101000020E61000003AB56177B1640BC0601C1F09F18E4240",True
"101","Hoya Mora",NULL,2,NULL,NULL,NULL,NULL,37,NULL,True
"101_19047","Hoya Mora - Especie Festuca elegans",101,NULL,NULL,NULL,NULL,NULL,37,"0101000020E61000000B1FE96C9E0E0BC0F7FDE2D5D58B4240",True
"101_24503","Hoya Mora - Especie Urtica dioica",101,NULL,NULL,NULL,NULL,NULL,37,"0101000020E61000000B1FE96C9E0E0BC0F7FDE2D5D58B4240",True
